"player_name"	"plate_x"	"plate_z"	"pitch_type"	"events"	"description"	"launch_angle"	"launch_speed"	"hc_x"	"hc_y"	"balls"	"strikes"	"type"	"game_year"	"stand"	"woba_value"	"p_throws"	"estimated_ba_using_speedangle"	"estimated_woba_using_speedangle"
"Jose Martinez"	1.1124	2.6674	"CH"	NA	"called_strike"	NA	NA	NA	NA	1	0	"S"	2019	"R"	NA	"L"	NA	NA
"Jose Martinez"	2.2124	2.6279	"SI"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"L"	NA	NA
"Buster Posey"	0.3034	1.6519	"FC"	"field_out"	"hit_into_play"	-8	99.3	127.26	184.29	0	2	"X"	2019	"R"	0	"L"	0.282	0.269
"Buster Posey"	-0.4944	2.3985	"SI"	NA	"called_strike"	NA	NA	NA	NA	0	1	"S"	2019	"R"	NA	"L"	NA	NA
"Buster Posey"	0.3929	2.0223	"FC"	NA	"foul"	NA	NA	NA	NA	0	0	"S"	2019	"R"	NA	"L"	NA	NA
"Nolan Arenado"	0.5576	2.0206	"FF"	"field_out"	"hit_into_play"	25	94.5	161.33	51.26	2	1	"X"	2019	"R"	0	"R"	0.26	0.377
"Nolan Arenado"	1.1358	3.2991	"FF"	NA	"ball"	NA	NA	NA	NA	1	1	"B"	2019	"R"	NA	"R"	NA	NA
"Nolan Arenado"	1.3728	2.6336	"FF"	NA	"ball"	NA	NA	NA	NA	0	1	"B"	2019	"R"	NA	"R"	NA	NA
"Nolan Arenado"	0.0081	2.5404	"FF"	NA	"called_strike"	NA	NA	NA	NA	0	0	"S"	2019	"R"	NA	"R"	NA	NA
"Lorenzo Cain"	0.6875	2.3174	"SL"	"single"	"hit_into_play_no_out"	14	89.7	194.14	106.1	3	1	"X"	2019	"R"	0.9	"R"	0.94	0.875
"Lorenzo Cain"	-0.203	1.3868	"SL"	NA	"ball"	NA	NA	NA	NA	2	1	"B"	2019	"R"	NA	"R"	NA	NA
"Lorenzo Cain"	0.8734	2.1232	"SL"	NA	"called_strike"	NA	NA	NA	NA	2	0	"S"	2019	"R"	NA	"R"	NA	NA
"Lorenzo Cain"	-1.1473	3.5897	"FF"	NA	"ball"	NA	NA	NA	NA	1	0	"B"	2019	"R"	NA	"R"	NA	NA
"Lorenzo Cain"	1.2052	2.8188	"FF"	NA	"ball"	NA	NA	NA	NA	0	0	"B"	2019	"R"	NA	"R"	NA	NA
"Matt Chapman"	-0.2486	2.767	"FT"	"field_out"	"hit_into_play"	4	102.8	144.83	147.95	1	1	"X"	2019	"R"	0	"R"	0.603	0.595
